Scenario,Distance,BaselineSpeed_Mean,BaselineSpeed_Std,BaselineSpeed_P5,BaselineSpeed_P95,BaselineTime_Mean,BaselineTime_Std,BaselineTime_P5,BaselineTime_P95,BaselineCO2_Mean,BaselineCO2_Std,BaselineCO2_P5,BaselineCO2_P95,BaselineEnergy_Mean,BaselineEnergy_Std,BaselineEnergy_P5,BaselineEnergy_P95,HLSpeed_Mean,HLSpeed_Std,HLSpeed_P5,HLSpeed_P95,HLTime_Mean,HLTime_Std,HLTime_P5,HLTime_P95,HLCO2_Mean,HLCO2_Std,HLCO2_P5,HLCO2_P95,HLEnergy_Mean,HLEnergy_Std,HLEnergy_P5,HLEnergy_P95
S1,800,93.27,7.06,83.22,106.24,10.01,0.37,9.39,10.62,22.18,0.94,20.71,23.8,100.03,7.57,87.56,112.48,899.77,37.72,839.25,962.23,1.0,0.08,0.88,1.13,2.0,0.38,1.38,2.61,54.94,1.88,51.85,58.06
S2,1500,93.35,7.16,82.97,106.27,16.0,0.38,15.38,16.62,39.98,1.89,36.86,43.09,178.43,9.31,162.38,193.04,900.46,37.58,838.92,961.84,1.6,0.04,1.54,1.66,3.0,0.38,2.38,3.62,99.99,3.78,93.76,106.29
S3,900,115.02,1.89,111.9,118.12,8.5,0.19,8.18,8.81,20.0,0.76,18.75,21.25,99.97,3.8,93.73,106.28,900.52,37.48,837.75,961.52,1.1,0.04,1.04,1.16,2.5,0.19,2.19,2.81,60.04,3.8,53.77,66.28
S4,500,90.03,3.79,83.82,96.28,5.5,0.19,5.19,5.81,13.84,0.55,12.86,14.68,60.04,3.78,53.85,66.32,900.17,37.99,837.63,962.85,0.5,0.04,0.44,0.56,1.5,0.19,1.19,1.81,35.0,1.88,31.94,38.09
S5,600,109.97,3.79,103.77,116.25,5.5,0.19,5.19,5.81,16.0,0.76,14.74,17.26,69.94,3.75,63.78,76.11,899.56,37.27,838.24,960.89,0.6,0.04,0.54,0.66,1.5,0.19,1.19,1.81,39.99,1.89,36.87,43.08
S6,2245,100.12,7.59,87.45,112.3,28.18,1.31,26.08,30.39,224.83,13.2,203.04,246.63,500.18,15.09,475.09,524.86,434.97,16.58,405.61,460.18,3.2,0.15,2.95,3.45,6.91,0.97,5.34,8.52,313.31,14.17,289.97,336.23
S7,1200,104.97,1.89,101.84,108.07,11.5,0.19,11.19,11.81,31.15,1.32,29.05,33.4,140.05,7.51,127.57,152.45,950.32,18.83,919.27,981.33,1.25,0.02,1.22,1.28,2.5,0.19,2.19,2.81,79.97,3.78,73.75,86.21
S8,1100,115.0,1.86,111.95,118.08,9.5,0.19,9.19,9.81,27.83,0.93,26.25,29.31,119.97,7.5,107.53,132.25,950.12,18.98,919.18,981.21,1.15,0.02,1.12,1.18,2.7,0.17,2.38,2.94,69.95,3.78,63.79,76.1
S9,750,91.58,5.5,83.31,101.47,8.5,0.19,8.19,8.81,19.98,0.75,18.76,21.22,80.02,3.83,73.71,86.27,899.53,38.13,836.54,962.17,0.85,0.02,0.82,0.88,2.01,0.38,1.4,2.63,45.0,1.87,41.91,48.1
S10,1000,85.04,5.65,75.6,94.3,11.5,0.56,10.57,12.44,28.17,1.32,26.06,30.41,120.07,7.56,107.69,132.56,950.24,18.82,919.06,980.65,1.1,0.04,1.04,1.16,2.5,0.19,2.19,2.81,69.99,3.77,63.79,76.21
S11,6000,83.36,11.14,66.51,103.26,75.01,1.89,71.9,78.1,131.64,5.51,123.28,141.28,499.8,37.6,437.27,561.92,950.05,19.04,918.68,981.43,6.5,0.19,6.19,6.81,35.02,1.89,31.88,38.15,300.09,18.76,268.84,330.47
S12,1200,91.61,5.57,83.2,101.55,12.5,0.19,12.19,12.81,34.0,1.51,31.5,36.51,140.04,7.58,127.57,152.6,899.92,37.98,837.75,962.39,1.35,0.06,1.26,1.44,3.5,0.19,3.19,3.81,79.98,3.76,73.88,86.18
