Scenario,Distance,BaselineSpeed_Mean,BaselineTime_Mean,BaselineCO2_Mean,BaselineEnergy_Mean,HLSpeed_Mean,HLTime_Mean,HLCO2_Mean,HLEnergy_Mean,BaselineExports,HLExports,DiffPercent
S1,800,93.15,11.01,22.17,100.03,400.08,1,2,55.01,0.049,0.093,90.64
S2,1500,93.23,16.17,40.01,178.18,349.36,1.6,3,100.04,0.031,0.058,89.24
S3,900,115,8.5,19.99,100,420.04,1.2,2.5,60.01,0.047,0.085,80.16
S4,500,99.86,6,15.01,70.03,399.94,0.95,2,40.03,0.069,0.124,79.62
S5,600,110.03,6,16,70,400,0.6,1.5,40,0.062,0.115,84.24
S6,2245,100.09,28.16,225.02,499.75,428.15,3,118.4,310.9,0.02,0.033,60.83
S7,1200,109.96,12,34.69,156.66,421.74,1.32,4,88.4,0.037,0.068,84.7
S8,1100,115.03,10,30.04,119.99,411.54,1.3,3,78.4,0.04,0.073,83.09
S9,750,91.71,9,22.14,80.01,399.97,0.9,1.99,49.95,0.051,0.097,89.6
S10,1000,84.96,11.51,28.16,120.11,419.94,1.18,2.5,70.06,0.041,0.079,93.22
S11,6000,83.37,75.03,131.65,500.46,716.84,6.5,35.03,299.98,0.011,0.021,89.83
S12,1200,91.67,12.5,34.01,139.97,420.08,3.08,2.1,49.94,0.036,0.07,91.48
