Scenario,Distance,BaselineSpeed_Min,BaselineSpeed_Mode,BaselineSpeed_Max,BaselineTime_Min,BaselineTime_Mode,BaselineTime_Max,BaselineCO2_Min,BaselineCO2_Mode,BaselineCO2_Max,BaselineEnergy_Min,BaselineEnergy_Mode,BaselineEnergy_Max,HLSpeed_Min,HLSpeed_Mode,HLSpeed_Max,HLTime_Min,HLTime_Mode,HLTime_Max,HLCO2_Min,HLCO2_Mode,HLCO2_Max,HLEnergy_Min,HLEnergy_Mode,HLEnergy_Max
S1,800,80,90,120,10,10.5,11,20,22.5,25,800,900,1000,800,900,1000,1,1.15,1.3,2,2.1,2.2,50,55,60
S2,1500,80,90,120,16,16.5,17,35,40,45,900,1000,1200,900,1000,1200,1.6,1.65,1.7,3,3.1,3.2,90,100,110
S3,900,110,115,120,8,8.5,9,18,20,22,90,100,110,800,900,1000,1,1.1,1.2,2,2.5,3,50,60,70
S4,500,80,90,100,5,5.5,6,12,13.5,15,50,70,80,800,900,1000,0.5,0.525,0.55,1,1.5,2,30,35,40
S5,600,100,110,120,5,6,7,14,16,18,80,90,100,800,900,1000,0.6,0.65,0.7,1,1.5,2,35,40,45
S6,2245,80,100,120,28,30,34,190,225,260,400,500,600,900,1000,1100,2.8,3.2,3.6,4.4,6.9,9.5,275,300,350
S7,1200,100,110,120,11,12,13,28,34,40,120,140,160,900,1000,1100,1.2,1.3,1.3,3,3.5,4,70,80,90
S8,1100,110,115,120,9,10,11,25,30,35,90,100,110,800,900,1000,1.1,1.15,1.2,3,3.1,3.2,60,70,80
S9,750,80,90,110,8,9,10,18,22,27,70,80,90,800,900,1000,0.8,0.9,0.95,2,2.1,2.2,40,45,50
S10,1000,70,85,100,10,11.5,13,25,28,32,100,120,140,900,1000,1100,1,1.1,1.2,3,3.1,3.2,60,70,80
S11,6000,60,80,120,70,75,80,120,135,150,400,600,900,900,1000,1100,6,6.5,7,30,35,40,250,300,350
S12,1200,80,95,110,12,13,14,30,34,38,120,140,160,800,900,1000,1.2,1.5,1.5,3,3.1,3.2,70,80,90
